"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","558","Create user","LMS service","Thu Dec 11 17:17:06 UTC 2025","passed","Thu Dec 11 17:17:06 UTC 2025","Create entity","Users","",""
"","20","Get exercise","LMS service","Thu Dec 11 17:17:01 UTC 2025","passed","Thu Dec 11 17:17:01 UTC 2025","Get entity","Exercises","",""
"","266","Create file with empty directory","LMS service","Thu Dec 11 17:17:05 UTC 2025","passed","Thu Dec 11 17:17:05 UTC 2025","Validate entity","Files","",""
"","20","Delete file","LMS service","Thu Dec 11 17:17:04 UTC 2025","passed","Thu Dec 11 17:17:04 UTC 2025","Delete entity","Files","",""
"","30","Get courses","LMS service","Thu Dec 11 17:16:58 UTC 2025","passed","Thu Dec 11 17:16:58 UTC 2025","Get entities","Courses","",""
"","285","Login with correct email and password","LMS service","Thu Dec 11 17:16:57 UTC 2025","passed","Thu Dec 11 17:16:57 UTC 2025","Login","Authentication","",""
"","264","Create file","LMS service","Thu Dec 11 17:17:03 UTC 2025","passed","Thu Dec 11 17:17:03 UTC 2025","Create entity","Files","",""
"","21","Get exercises","LMS service","Thu Dec 11 17:17:02 UTC 2025","passed","Thu Dec 11 17:17:02 UTC 2025","Get entities","Exercises","",""
"","14","Get file","LMS service","Thu Dec 11 17:17:03 UTC 2025","passed","Thu Dec 11 17:17:03 UTC 2025","Get entity","Files","",""
"","22","Update exercise","LMS service","Thu Dec 11 17:17:01 UTC 2025","passed","Thu Dec 11 17:17:01 UTC 2025","Update entity","Exercises","",""
"","258","Create file with empty filename","LMS service","Thu Dec 11 17:17:04 UTC 2025","passed","Thu Dec 11 17:17:05 UTC 2025","Validate entity","Files","",""
"","290","Create user","LMS service","Thu Dec 11 17:17:06 UTC 2025","passed","Thu Dec 11 17:17:06 UTC 2025","Create entity","Users","",""
"","304","Update course","LMS service","Thu Dec 11 17:16:59 UTC 2025","passed","Thu Dec 11 17:17:00 UTC 2025","Update entity","Courses","",""
"","551","Create user","LMS service","Thu Dec 11 17:17:05 UTC 2025","passed","Thu Dec 11 17:17:06 UTC 2025","Create entity","Users","",""
"","22","Create exercise","LMS service","Thu Dec 11 17:17:00 UTC 2025","passed","Thu Dec 11 17:17:00 UTC 2025","Create entity","Exercises","",""
"","12","Get user me","LMS service","Thu Dec 11 17:17:07 UTC 2025","passed","Thu Dec 11 17:17:07 UTC 2025","Get entity","Users","",""
"","269","Get file with incorrect file id","LMS service","Thu Dec 11 17:17:06 UTC 2025","passed","Thu Dec 11 17:17:06 UTC 2025","Validate entity","Files","",""
"","30","Create course","LMS service","Thu Dec 11 17:16:59 UTC 2025","passed","Thu Dec 11 17:16:59 UTC 2025","Create entity","Courses","",""
"","291","Delete exercise","LMS service","Thu Dec 11 17:17:02 UTC 2025","passed","Thu Dec 11 17:17:02 UTC 2025","Delete entity","Exercises","",""
